ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
164,Telangana,Hyderabad,Locality B,Apartment,2,2299,184.08,8006.83,2005,Semi-Furnished,12,7,20,6,9,4,0,Guard,None,South,Builder,Ready to Move
165,Tamil Nadu,Chennai,Locality A,Independent House,4,1827,97.22,5321.35,1998,Unfurnished,2,5,27,1,5,1,0,None,Gym,East,Agent,Under Construction
166,Telangana,Hyderabad,Locality A,Independent House,4,2985,202.58,6786.6,2018,Semi-Furnished,19,8,7,9,3,2,1,Guard,Clubhouse,West,Builder,Under Construction
167,Tamil Nadu,Chennai,Locality B,Villa,4,3401,330.01,9703.19,1990,Semi-Furnished,18,21,35,2,7,1,2,Gated,None,South,Builder,Ready to Move
168,Delhi,New Delhi,Locality A,Apartment,2,3951,388.35,9829.2,2003,Unfurnished,6,21,22,1,3,4,2,CCTV,Gym,South,Agent,Under Construction
169,Telangana,Hyderabad,Locality A,Apartment,2,3412,231.24,6777.11,1998,Unfurnished,19,11,27,5,1,4,0,Guard,Gym,East,Individual,Under Construction
170,Delhi,New Delhi,Locality A,Apartment,3,2017,135.21,6703.58,2008,Unfurnished,16,5,17,1,8,4,0,Gated,Pool,East,Builder,Ready to Move
171,Maharashtra,Nagpur,Locality B,Apartment,5,673,60.42,8977.53,2007,Fully-Furnished,4,22,18,1,4,2,1,Gated,Clubhouse,East,Individual,Ready to Move
172,Telangana,Hyderabad,Locality B,Villa,3,3949,242.02,6128.63,2018,Fully-Furnished,11,17,7,7,2,3,0,CCTV,Pool,South,Agent,Under Construction
173,Maharashtra,Mumbai,Locality B,Apartment,3,2063,172.13,8343.84,1992,Unfurnished,12,7,33,5,2,1,1,Guard,Gym,East,Individual,Ready to Move
174,Karnataka,Bangalore,Locality B,Independent House,1,1736,91.94,5296.31,2017,Semi-Furnished,4,7,8,9,7,4,0,Gated,Clubhouse,North,Individual,Under Construction
175,Karnataka,Mysore,Locality C,Independent House,4,3759,330.43,8790.28,2004,Fully-Furnished,16,8,21,3,3,4,0,None,Gym,West,Agent,Under Construction
176,Telangana,Hyderabad,Locality A,Villa,4,3480,148.55,4268.67,2009,Semi-Furnished,3,15,16,1,1,3,2,Guard,Clubhouse,East,Builder,Ready to Move
177,Maharashtra,Mumbai,Locality A,Apartment,5,2329,167.37,7186.51,1990,Semi-Furnished,5,7,35,4,8,4,2,Guard,Gym,West,Builder,Ready to Move
178,Delhi,New Delhi,Locality B,Villa,3,2995,148.56,4960.15,2004,Unfurnished,5,14,21,2,6,3,0,None,Gym,East,Agent,Under Construction
179,Telangana,Hyderabad,Locality A,Apartment,4,1285,93.45,7272.29,2021,Unfurnished,17,17,4,4,1,1,1,CCTV,Gym,South,Individual,Ready to Move
180,Delhi,New Delhi,Locality C,Independent House,2,3446,308.79,8960.89,2010,Unfurnished,3,17,15,3,1,1,2,Guard,Pool,East,Agent,Ready to Move
181,Maharashtra,Nagpur,Locality A,Apartment,1,2651,232.1,8755.13,2010,Semi-Furnished,19,6,15,3,5,3,0,Guard,Pool,North,Agent,Under Construction
182,Tamil Nadu,Coimbatore,Locality A,Independent House,4,2942,127.87,4346.45,2001,Fully-Furnished,16,16,24,8,4,1,1,None,None,West,Builder,Ready to Move
183,Karnataka,Mysore,Locality A,Independent House,3,3673,191.71,5219.34,2016,Semi-Furnished,17,23,9,8,7,3,2,Gated,Pool,East,Builder,Under Construction
184,Delhi,New Delhi,Locality A,Apartment,4,2210,195.35,8839.54,2006,Fully-Furnished,6,7,19,3,9,4,0,Guard,Gym,North,Agent,Under Construction
185,Tamil Nadu,Chennai,Locality B,Apartment,2,3267,224.15,6861.06,1999,Semi-Furnished,9,7,26,6,3,2,1,None,Pool,North,Builder,Ready to Move
186,Delhi,New Delhi,Locality C,Apartment,2,518,41.76,8060.93,2019,Unfurnished,5,5,6,1,8,3,2,Guard,Gym,North,Individual,Under Construction
187,Maharashtra,Nagpur,Locality B,Villa,4,756,61.99,8200.21,2023,Fully-Furnished,6,15,2,8,7,1,1,Guard,None,East,Builder,Under Construction
188,Tamil Nadu,Chennai,Locality C,Villa,2,2515,101.52,4036.53,1991,Semi-Furnished,16,10,34,3,6,4,0,None,Pool,South,Builder,Ready to Move
189,Telangana,Hyderabad,Locality A,Independent House,3,1813,159.92,8820.9,2018,Unfurnished,17,13,7,8,7,3,2,CCTV,Gym,North,Individual,Ready to Move
190,Tamil Nadu,Chennai,Locality B,Villa,1,3884,184.01,4737.52,2021,Semi-Furnished,18,18,4,1,7,3,1,CCTV,None,South,Individual,Under Construction
191,Telangana,Hyderabad,Locality B,Villa,3,1728,149.51,8652.08,2003,Fully-Furnished,11,13,22,2,7,3,1,None,Gym,East,Individual,Ready to Move
192,Maharashtra,Pune,Locality A,Villa,2,2384,197.64,8290.23,2012,Unfurnished,12,15,13,6,6,1,1,Gated,Gym,East,Agent,Ready to Move
193,Delhi,New Delhi,Locality B,Independent House,4,2197,163.26,7430.85,2008,Unfurnished,17,5,17,2,3,1,0,None,Clubhouse,North,Agent,Under Construction
194,Tamil Nadu,Chennai,Locality A,Apartment,5,734,37.41,5096.84,2014,Fully-Furnished,19,16,11,8,1,4,1,Gated,Pool,North,Individual,Under Construction
195,Telangana,Hyderabad,Locality A,Villa,1,1523,104.41,6855.81,1996,Unfurnished,13,8,29,2,3,4,0,Guard,Pool,West,Individual,Ready to Move
196,Delhi,New Delhi,Locality B,Independent House,1,1451,127.36,8777.44,2013,Semi-Furnished,12,16,12,7,2,1,2,Gated,None,West,Builder,Under Construction
197,Maharashtra,Mumbai,Locality C,Apartment,3,3823,237.28,6206.72,1999,Semi-Furnished,14,17,26,9,1,2,0,Gated,Pool,West,Builder,Under Construction
198,Maharashtra,Pune,Locality C,Apartment,3,3709,258.04,6957.19,2013,Semi-Furnished,6,5,12,6,1,4,0,None,Clubhouse,West,Agent,Ready to Move
199,Telangana,Hyderabad,Locality A,Apartment,4,3245,154.24,4753.3,1995,Unfurnished,7,24,30,5,9,2,2,Gated,Pool,West,Agent,Ready to Move
200,Telangana,Hyderabad,Locality A,Villa,4,1472,133.69,9082.36,2012,Fully-Furnished,4,12,13,9,8,1,0,Guard,Gym,North,Individual,Under Construction
201,Karnataka,Mysore,Locality C,Independent House,4,3776,258.39,6842.86,1994,Semi-Furnished,9,21,31,4,8,1,1,Guard,Pool,West,Agent,Under Construction
202,Maharashtra,Pune,Locality C,Independent House,2,3596,211.84,5890.88,1993,Fully-Furnished,1,21,32,3,5,4,2,Guard,None,South,Builder,Under Construction
203,Maharashtra,Nagpur,Locality C,Villa,1,658,53.56,8140.0,2009,Unfurnished,18,10,16,1,2,1,0,Guard,Pool,East,Individual,Under Construction
204,Tamil Nadu,Coimbatore,Locality C,Apartment,2,3000,218.43,7281.16,1997,Unfurnished,16,15,28,3,6,1,0,Gated,Pool,East,Agent,Under Construction
205,Telangana,Hyderabad,Locality A,Independent House,1,2105,109.07,5181.55,2015,Unfurnished,18,23,10,3,8,4,1,Guard,Clubhouse,South,Builder,Under Construction
206,Karnataka,Mysore,Locality B,Independent House,4,1783,156.11,8755.57,2005,Unfurnished,10,12,20,2,1,3,1,CCTV,None,West,Agent,Under Construction
207,Maharashtra,Nagpur,Locality A,Apartment,1,1562,77.73,4976.2,2018,Semi-Furnished,4,9,7,8,2,2,1,None,None,West,Builder,Ready to Move
208,Delhi,New Delhi,Locality A,Independent House,2,2251,133.48,5930.02,2016,Unfurnished,3,16,9,2,7,4,1,Gated,Gym,South,Individual,Under Construction
209,Delhi,New Delhi,Locality B,Independent House,3,3093,215.52,6968.05,1992,Fully-Furnished,17,11,33,9,7,1,0,Guard,Pool,South,Individual,Under Construction
210,Tamil Nadu,Coimbatore,Locality B,Apartment,4,1360,101.23,7443.05,1990,Fully-Furnished,10,15,35,2,4,1,1,Gated,Gym,North,Builder,Ready to Move
211,Maharashtra,Pune,Locality A,Independent House,5,2901,155.18,5349.34,2000,Semi-Furnished,19,23,25,4,5,4,2,Gated,None,East,Agent,Ready to Move
212,Karnataka,Mysore,Locality C,Independent House,4,904,80.81,8938.96,2018,Semi-Furnished,14,8,7,4,2,4,0,CCTV,Clubhouse,East,Individual,Ready to Move
213,Delhi,New Delhi,Locality C,Villa,3,1890,170.38,9014.96,2013,Unfurnished,17,24,12,4,2,1,1,Guard,Gym,North,Agent,Under Construction
214,Tamil Nadu,Coimbatore,Locality C,Villa,1,1180,89.0,7542.59,1999,Unfurnished,3,23,26,6,6,1,2,CCTV,Clubhouse,West,Builder,Ready to Move
215,Telangana,Hyderabad,Locality C,Villa,1,3298,299.81,9090.55,2014,Unfurnished,16,19,11,7,2,2,2,CCTV,None,East,Builder,Ready to Move
216,Tamil Nadu,Coimbatore,Locality B,Apartment,3,3300,214.07,6486.82,2000,Unfurnished,4,20,25,2,9,1,1,None,Clubhouse,North,Agent,Ready to Move
217,Tamil Nadu,Coimbatore,Locality C,Independent House,1,3300,272.28,8250.94,2013,Fully-Furnished,6,5,12,3,4,1,1,Guard,Clubhouse,South,Agent,Ready to Move
218,Maharashtra,Mumbai,Locality C,Apartment,3,3989,171.98,4311.37,2009,Fully-Furnished,17,16,16,9,6,2,0,None,Clubhouse,North,Agent,Under Construction
219,Maharashtra,Mumbai,Locality C,Villa,2,3510,174.74,4978.21,2008,Semi-Furnished,1,18,17,4,2,1,2,CCTV,Gym,East,Agent,Ready to Move
220,Delhi,New Delhi,Locality C,Villa,1,1401,100.95,7205.74,1990,Unfurnished,16,7,35,8,3,1,0,Guard,None,West,Agent,Ready to Move
221,Karnataka,Bangalore,Locality B,Independent House,4,3666,284.12,7750.18,1997,Fully-Furnished,18,20,28,2,8,2,2,Guard,Clubhouse,East,Builder,Under Construction
222,Telangana,Hyderabad,Locality A,Villa,4,612,35.04,5725.8,2022,Unfurnished,1,22,3,5,1,2,0,None,Gym,East,Builder,Ready to Move
223,Delhi,New Delhi,Locality B,Independent House,4,1973,195.18,9892.3,2004,Fully-Furnished,18,14,21,4,6,3,2,Gated,Gym,West,Builder,Under Construction
224,Tamil Nadu,Coimbatore,Locality A,Apartment,2,2564,251.89,9824.06,2007,Fully-Furnished,17,16,18,5,9,1,1,Guard,Clubhouse,East,Builder,Under Construction
225,Maharashtra,Nagpur,Locality C,Villa,2,707,40.47,5724.77,2016,Fully-Furnished,9,24,9,6,6,2,0,None,Clubhouse,West,Agent,Ready to Move
226,Karnataka,Mysore,Locality A,Independent House,2,3880,319.04,8222.75,2021,Fully-Furnished,2,8,4,6,9,1,1,Gated,Clubhouse,South,Individual,Under Construction
227,Tamil Nadu,Chennai,Locality A,Apartment,3,3886,361.32,9297.96,2023,Unfurnished,17,17,2,8,6,4,1,None,Clubhouse,North,Individual,Under Construction
228,Delhi,New Delhi,Locality C,Villa,2,2420,154.74,6394.21,1999,Semi-Furnished,3,24,26,6,6,1,1,Guard,Gym,East,Individual,Under Construction
229,Telangana,Hyderabad,Locality A,Apartment,1,2926,194.0,6630.31,2006,Semi-Furnished,18,24,19,3,8,4,2,Gated,None,East,Individual,Ready to Move
230,Telangana,Hyderabad,Locality B,Independent House,1,1570,83.0,5286.44,2000,Semi-Furnished,1,15,25,5,2,4,0,None,Pool,South,Agent,Under Construction
231,Karnataka,Mysore,Locality C,Villa,3,3186,221.78,6961.01,1990,Fully-Furnished,14,14,35,8,3,2,2,Gated,Gym,North,Builder,Ready to Move
232,Maharashtra,Nagpur,Locality A,Villa,4,1892,117.51,6210.69,2007,Unfurnished,11,10,18,6,5,1,2,CCTV,None,West,Builder,Under Construction
233,Delhi,New Delhi,Locality C,Apartment,4,2072,135.02,6516.34,1993,Fully-Furnished,4,19,32,6,9,1,1,Gated,Clubhouse,East,Builder,Under Construction
234,Karnataka,Bangalore,Locality B,Independent House,5,3956,196.33,4962.78,2017,Fully-Furnished,13,19,8,5,1,2,0,None,Clubhouse,East,Individual,Ready to Move
235,Telangana,Hyderabad,Locality A,Independent House,4,2687,178.95,6659.84,2013,Semi-Furnished,5,8,12,7,9,1,0,CCTV,Pool,North,Builder,Under Construction
236,Maharashtra,Mumbai,Locality B,Apartment,5,1736,110.35,6356.38,2011,Semi-Furnished,17,16,14,3,3,3,0,Guard,None,East,Builder,Ready to Move
237,Maharashtra,Mumbai,Locality A,Villa,5,3810,246.38,6466.56,2006,Unfurnished,6,16,19,4,7,1,2,CCTV,Pool,South,Builder,Ready to Move
238,Maharashtra,Pune,Locality C,Villa,2,2782,258.45,9289.97,1998,Fully-Furnished,15,23,27,3,4,2,1,CCTV,Clubhouse,South,Agent,Ready to Move
239,Maharashtra,Nagpur,Locality A,Villa,1,3860,279.67,7245.43,2023,Unfurnished,2,20,2,8,1,1,2,Guard,Gym,West,Individual,Ready to Move
240,Tamil Nadu,Chennai,Locality A,Independent House,2,794,56.17,7073.71,1996,Unfurnished,1,21,29,5,1,3,1,CCTV,Gym,East,Individual,Ready to Move
241,Tamil Nadu,Chennai,Locality A,Apartment,5,3778,293.57,7770.56,1998,Semi-Furnished,16,13,27,9,6,4,0,Guard,None,East,Builder,Ready to Move
242,Tamil Nadu,Chennai,Locality B,Independent House,2,1158,74.43,6427.41,2019,Semi-Furnished,8,10,6,3,5,2,0,None,Clubhouse,North,Agent,Under Construction
243,Telangana,Hyderabad,Locality C,Villa,1,3372,149.87,4444.63,2009,Unfurnished,3,23,16,2,6,3,0,Guard,Pool,South,Agent,Ready to Move
244,Telangana,Hyderabad,Locality B,Apartment,4,2030,169.23,8336.43,2017,Fully-Furnished,16,8,8,2,1,1,2,None,Gym,South,Builder,Ready to Move
245,Tamil Nadu,Coimbatore,Locality C,Apartment,2,3354,286.8,8551.01,2018,Fully-Furnished,6,21,7,3,5,3,2,None,Clubhouse,East,Agent,Ready to Move
246,Karnataka,Mysore,Locality B,Villa,5,989,71.7,7249.88,1991,Fully-Furnished,15,20,34,6,8,4,1,Gated,Pool,South,Builder,Under Construction
247,Delhi,New Delhi,Locality C,Villa,2,1357,132.32,9750.99,1992,Unfurnished,1,17,33,1,6,1,1,None,None,North,Builder,Under Construction
248,Tamil Nadu,Chennai,Locality A,Apartment,2,3415,272.24,7971.81,1995,Unfurnished,5,10,30,4,7,3,1,Gated,Gym,West,Agent,Ready to Move
249,Tamil Nadu,Coimbatore,Locality A,Villa,2,3691,321.21,8702.63,2018,Semi-Furnished,2,12,7,9,8,2,2,Guard,Gym,South,Individual,Under Construction
250,Delhi,New Delhi,Locality A,Apartment,4,3847,229.27,5959.84,2004,Fully-Furnished,11,23,21,3,3,3,0,CCTV,Clubhouse,South,Agent,Under Construction
251,Tamil Nadu,Chennai,Locality A,Apartment,2,3145,259.05,8236.95,1992,Semi-Furnished,19,8,33,4,7,3,0,Gated,Gym,East,Agent,Ready to Move
252,Karnataka,Mysore,Locality B,Independent House,3,1072,80.11,7473.04,2000,Unfurnished,5,23,25,3,7,4,1,Gated,None,South,Builder,Ready to Move
253,Karnataka,Mysore,Locality C,Apartment,3,2444,236.95,9695.2,2007,Unfurnished,9,13,18,2,7,2,2,CCTV,Pool,South,Agent,Ready to Move
254,Telangana,Hyderabad,Locality B,Apartment,4,2740,116.56,4254.05,2003,Fully-Furnished,11,19,22,2,1,1,1,None,None,South,Builder,Under Construction
255,Delhi,New Delhi,Locality B,Independent House,2,3727,238.95,6411.32,1991,Fully-Furnished,8,12,34,2,5,1,1,CCTV,Pool,North,Agent,Under Construction
256,Delhi,New Delhi,Locality A,Independent House,5,3066,302.22,9857.12,2013,Fully-Furnished,5,14,12,8,5,3,2,Gated,Clubhouse,East,Agent,Ready to Move
257,Tamil Nadu,Coimbatore,Locality B,Apartment,4,2913,177.26,6085.04,2006,Fully-Furnished,14,15,19,5,7,4,1,CCTV,Pool,East,Builder,Under Construction
258,Delhi,New Delhi,Locality B,Apartment,2,2823,158.41,5611.37,1992,Fully-Furnished,8,15,33,4,5,4,0,CCTV,None,West,Individual,Under Construction
259,Telangana,Hyderabad,Locality B,Villa,4,1149,70.46,6131.92,2011,Fully-Furnished,2,15,14,4,5,2,2,None,Pool,West,Builder,Ready to Move
260,Karnataka,Mysore,Locality B,Apartment,3,3699,148.66,4018.85,2020,Fully-Furnished,10,6,5,7,1,1,2,Gated,Pool,North,Individual,Under Construction
261,Karnataka,Bangalore,Locality B,Independent House,1,1471,134.94,9173.22,2006,Unfurnished,18,17,19,7,7,1,0,None,Gym,East,Builder,Ready to Move
262,Telangana,Hyderabad,Locality A,Villa,1,1850,169.44,9158.77,1993,Unfurnished,13,21,32,2,7,3,2,Gated,Gym,South,Agent,Ready to Move
263,Maharashtra,Pune,Locality B,Independent House,4,769,75.53,9821.41,2021,Semi-Furnished,3,7,4,8,9,1,2,Gated,Pool,South,Builder,Under Construction
264,Tamil Nadu,Coimbatore,Locality C,Independent House,1,3259,283.98,8713.86,2001,Unfurnished,5,24,24,3,3,4,0,Gated,Clubhouse,North,Agent,Under Construction
265,Tamil Nadu,Coimbatore,Locality B,Apartment,4,2119,84.84,4003.92,2002,Unfurnished,15,17,23,2,1,4,0,Gated,None,South,Builder,Ready to Move
266,Tamil Nadu,Chennai,Locality A,Independent House,3,827,44.9,5428.88,2017,Semi-Furnished,18,21,8,7,5,1,0,CCTV,Clubhouse,North,Builder,Ready to Move
267,Karnataka,Bangalore,Locality A,Villa,5,1694,145.3,8577.36,2008,Fully-Furnished,1,24,17,7,1,4,2,Gated,Pool,East,Individual,Under Construction
268,Delhi,New Delhi,Locality B,Apartment,2,2366,125.23,5293.0,1997,Fully-Furnished,8,14,28,1,9,1,2,CCTV,Clubhouse,East,Agent,Ready to Move
269,Maharashtra,Mumbai,Locality B,Villa,2,2963,238.95,8064.36,1995,Unfurnished,13,23,30,5,8,3,1,CCTV,None,North,Individual,Ready to Move
270,Delhi,New Delhi,Locality A,Villa,1,2686,160.98,5993.23,2017,Fully-Furnished,6,6,8,2,8,3,2,CCTV,Clubhouse,North,Agent,Under Construction
271,Telangana,Hyderabad,Locality C,Villa,1,3789,215.58,5689.7,2008,Fully-Furnished,1,14,17,4,1,1,1,CCTV,None,West,Individual,Ready to Move
272,Telangana,Hyderabad,Locality B,Apartment,2,1467,140.42,9571.78,2020,Unfurnished,2,7,5,9,8,4,2,CCTV,None,South,Builder,Under Construction
273,Maharashtra,Pune,Locality C,Independent House,2,1415,71.64,5063.16,2016,Unfurnished,12,19,9,8,5,3,0,CCTV,Clubhouse,East,Builder,Under Construction
274,Telangana,Hyderabad,Locality B,Independent House,4,1994,117.31,5883.27,2014,Semi-Furnished,17,24,11,7,1,2,1,CCTV,Gym,South,Individual,Ready to Move
275,Telangana,Hyderabad,Locality B,Apartment,5,2841,197.65,6956.92,2013,Semi-Furnished,17,15,12,4,9,1,0,None,None,East,Agent,Under Construction
276,Delhi,New Delhi,Locality B,Apartment,5,1029,91.85,8925.89,1992,Unfurnished,8,15,33,6,8,3,1,Gated,None,North,Builder,Ready to Move
277,Tamil Nadu,Chennai,Locality C,Villa,3,3096,305.99,9883.41,1991,Fully-Furnished,12,16,34,5,9,3,0,Guard,Pool,North,Agent,Under Construction
278,Tamil Nadu,Chennai,Locality B,Independent House,4,1961,194.17,9901.4,2010,Fully-Furnished,12,5,15,9,7,3,2,Guard,Pool,West,Individual,Ready to Move
279,Maharashtra,Mumbai,Locality C,Apartment,2,1260,77.56,6155.25,2005,Unfurnished,13,21,20,5,1,2,1,CCTV,Gym,West,Builder,Ready to Move
280,Delhi,New Delhi,Locality B,Villa,5,2913,217.28,7458.83,1995,Unfurnished,2,19,30,1,5,4,0,Gated,Pool,West,Builder,Under Construction
281,Delhi,New Delhi,Locality C,Independent House,2,1971,193.69,9826.91,2003,Fully-Furnished,19,15,22,1,9,2,0,Guard,None,East,Individual,Ready to Move
282,Delhi,New Delhi,Locality C,Villa,4,2439,197.27,8088.12,2006,Unfurnished,3,8,19,8,8,1,2,Gated,Pool,South,Builder,Ready to Move
283,Telangana,Hyderabad,Locality C,Independent House,3,1307,54.57,4174.93,1992,Fully-Furnished,9,11,33,4,2,3,1,Gated,Pool,West,Agent,Under Construction
284,Telangana,Hyderabad,Locality A,Independent House,2,2918,172.15,5899.52,1994,Semi-Furnished,11,17,31,3,6,2,0,Guard,Gym,South,Builder,Under Construction
285,Karnataka,Bangalore,Locality B,Apartment,4,3041,190.8,6274.24,2007,Unfurnished,10,24,18,7,6,4,2,CCTV,None,West,Agent,Ready to Move
286,Delhi,New Delhi,Locality B,Villa,3,3677,304.35,8277.08,2008,Fully-Furnished,1,24,17,4,4,1,0,CCTV,None,East,Agent,Ready to Move
287,Delhi,New Delhi,Locality B,Independent House,3,3549,354.39,9985.74,1998,Unfurnished,15,9,27,7,1,2,2,Guard,None,West,Agent,Under Construction
288,Maharashtra,Pune,Locality C,Villa,1,3808,334.47,8783.27,2014,Semi-Furnished,3,15,11,9,7,3,1,Guard,Gym,North,Builder,Ready to Move
289,Maharashtra,Pune,Locality C,Villa,2,2099,200.64,9558.78,2000,Fully-Furnished,16,10,25,2,6,3,0,Gated,None,East,Agent,Ready to Move
290,Karnataka,Mysore,Locality B,Independent House,4,1856,182.68,9842.8,2001,Unfurnished,17,8,24,2,8,3,0,Gated,None,North,Builder,Under Construction
291,Telangana,Hyderabad,Locality C,Apartment,5,3343,259.37,7758.74,2003,Unfurnished,5,7,22,5,7,4,1,Guard,None,East,Builder,Under Construction
292,Delhi,New Delhi,Locality B,Independent House,2,960,50.41,5251.53,2018,Semi-Furnished,16,22,7,5,7,4,0,Gated,Pool,West,Builder,Ready to Move
293,Delhi,New Delhi,Locality C,Independent House,2,970,50.06,5160.61,1998,Semi-Furnished,6,24,27,6,4,2,2,Guard,Clubhouse,North,Individual,Under Construction
294,Telangana,Hyderabad,Locality B,Apartment,2,3621,154.68,4271.77,1993,Semi-Furnished,9,14,32,7,5,2,0,Guard,Clubhouse,West,Agent,Under Construction
295,Delhi,New Delhi,Locality B,Villa,5,2988,274.79,9196.61,1991,Semi-Furnished,17,20,34,3,5,4,2,None,Pool,East,Individual,Ready to Move
296,Delhi,New Delhi,Locality B,Independent House,1,3659,174.72,4775.05,2015,Unfurnished,1,15,10,5,4,3,2,None,None,North,Agent,Under Construction
297,Tamil Nadu,Coimbatore,Locality C,Independent House,2,3258,248.09,7614.82,2000,Unfurnished,3,16,25,4,3,2,1,Guard,Pool,East,Individual,Under Construction
298,Karnataka,Bangalore,Locality B,Villa,2,1155,86.07,7452.16,2014,Unfurnished,13,13,11,4,6,4,0,CCTV,Pool,East,Individual,Under Construction
299,Tamil Nadu,Coimbatore,Locality B,Apartment,4,684,56.14,8208.3,2015,Semi-Furnished,9,14,10,9,2,4,0,None,Gym,South,Agent,Under Construction
300,Karnataka,Bangalore,Locality A,Independent House,4,1958,163.41,8345.53,2003,Unfurnished,7,14,22,6,2,3,1,CCTV,Pool,North,Builder,Under Construction
301,Karnataka,Mysore,Locality C,Apartment,4,2861,140.31,4904.12,2011,Unfurnished,1,17,14,6,4,1,1,None,None,South,Builder,Ready to Move
302,Tamil Nadu,Chennai,Locality C,Villa,3,1923,183.56,9545.72,2003,Semi-Furnished,12,20,22,5,8,3,2,Gated,Gym,East,Builder,Ready to Move
303,Telangana,Hyderabad,Locality C,Villa,1,3972,268.67,6764.02,2016,Fully-Furnished,11,5,9,2,5,1,2,Gated,Clubhouse,East,Individual,Under Construction
304,Delhi,New Delhi,Locality C,Apartment,5,1633,159.15,9745.79,2018,Fully-Furnished,2,17,7,3,5,1,1,Gated,None,East,Individual,Under Construction
305,Maharashtra,Nagpur,Locality B,Independent House,3,1107,99.39,8978.34,2018,Semi-Furnished,3,5,7,6,8,3,1,Guard,Pool,North,Agent,Ready to Move
306,Maharashtra,Pune,Locality A,Apartment,5,1351,110.35,8167.92,1994,Fully-Furnished,4,23,31,1,3,4,2,CCTV,Clubhouse,South,Agent,Ready to Move
307,Delhi,New Delhi,Locality C,Villa,5,1152,47.86,4154.14,2011,Semi-Furnished,16,23,14,6,4,3,2,CCTV,Clubhouse,East,Individual,Under Construction
308,Maharashtra,Nagpur,Locality B,Villa,3,3299,247.87,7513.53,2008,Unfurnished,10,5,17,7,6,2,1,Guard,None,West,Agent,Under Construction
309,Delhi,New Delhi,Locality A,Apartment,5,2906,290.0,9979.39,2013,Unfurnished,4,15,12,6,3,1,0,None,Gym,East,Builder,Under Construction
310,Delhi,New Delhi,Locality B,Apartment,1,3919,215.75,5505.27,2015,Fully-Furnished,1,8,10,7,2,4,0,CCTV,Pool,East,Builder,Under Construction
311,Maharashtra,Nagpur,Locality B,Independent House,4,1219,78.07,6404.23,2012,Semi-Furnished,17,22,13,8,9,3,0,Gated,Gym,South,Builder,Ready to Move
312,Tamil Nadu,Coimbatore,Locality C,Villa,3,1241,74.81,6028.51,2023,Semi-Furnished,4,5,2,1,5,4,0,Guard,Pool,South,Individual,Ready to Move
313,Delhi,New Delhi,Locality C,Independent House,3,1419,81.92,5772.81,2017,Fully-Furnished,4,9,8,4,9,2,0,Gated,Clubhouse,West,Builder,Under Construction
314,Maharashtra,Pune,Locality A,Independent House,3,1801,157.56,8748.46,1996,Semi-Furnished,13,10,29,4,2,2,0,CCTV,None,West,Builder,Ready to Move
315,Tamil Nadu,Coimbatore,Locality C,Apartment,5,3154,128.15,4062.96,2019,Semi-Furnished,12,5,6,1,5,4,2,Guard,Pool,North,Agent,Under Construction
316,Telangana,Hyderabad,Locality A,Villa,5,2010,94.44,4698.75,2007,Unfurnished,12,15,18,2,3,3,1,None,Clubhouse,South,Individual,Under Construction
317,Tamil Nadu,Coimbatore,Locality C,Independent House,2,2569,230.07,8955.59,2010,Semi-Furnished,7,23,15,6,9,3,2,Guard,Gym,North,Builder,Ready to Move
318,Tamil Nadu,Chennai,Locality B,Apartment,2,2744,156.41,5700.18,1992,Fully-Furnished,3,10,33,7,7,1,2,None,Clubhouse,South,Individual,Ready to Move
319,Delhi,New Delhi,Locality C,Apartment,2,3638,177.24,4871.96,1992,Fully-Furnished,16,13,33,4,3,1,0,None,Pool,North,Individual,Ready to Move
320,Karnataka,Bangalore,Locality A,Apartment,1,2313,182.11,7873.43,2014,Semi-Furnished,14,20,11,1,8,4,1,CCTV,Gym,West,Individual,Ready to Move
321,Delhi,New Delhi,Locality C,Independent House,5,633,61.36,9693.88,2017,Unfurnished,8,24,8,2,2,3,2,None,Gym,West,Builder,Ready to Move
322,Karnataka,Mysore,Locality A,Villa,2,822,62.44,7596.16,2002,Semi-Furnished,15,22,23,8,7,2,0,CCTV,Pool,East,Individual,Under Construction
323,Telangana,Hyderabad,Locality C,Apartment,5,994,56.5,5683.6,2008,Semi-Furnished,14,18,17,9,7,3,2,CCTV,Gym,West,Individual,Ready to Move
324,Delhi,New Delhi,Locality A,Villa,3,3486,209.34,6005.16,2017,Unfurnished,5,7,8,7,1,3,2,CCTV,Clubhouse,East,Builder,Ready to Move
325,Telangana,Hyderabad,Locality B,Apartment,4,2857,230.07,8052.74,2011,Unfurnished,9,5,14,8,7,3,0,CCTV,Clubhouse,East,Agent,Ready to Move
326,Delhi,New Delhi,Locality A,Villa,5,1418,107.24,7562.68,2012,Fully-Furnished,15,12,13,7,1,1,2,Guard,Pool,East,Builder,Under Construction
327,Telangana,Hyderabad,Locality C,Apartment,3,2894,236.43,8169.72,2002,Semi-Furnished,17,13,23,9,5,2,0,CCTV,Gym,South,Builder,Ready to Move
328,Delhi,New Delhi,Locality B,Apartment,5,2796,235.08,8407.65,2022,Unfurnished,13,7,3,2,8,3,2,CCTV,Gym,West,Individual,Ready to Move
